country,date,tags,local_expense,local_income,currency,main_amount,main_currency,description
laos,5/30/2014,food,"20,000",,LAK,2.48,USD,
laos,5/30/2014,other,"13,000",,LAK,1.61,USD,
laos,5/30/2014,accommodation,"30,000",,LAK,3.73,USD,
laos,5/30/2014,other,"24,000",,LAK,2.98,USD,
laos,5/30/2014,food,"78,000",,LAK,9.69,USD,for two
laos,5/30/2014,other,"17,000",,LAK,2.11,USD,
laos,5/30/2014,transportation,"6,000",,LAK,0.75,USD,
laos,5/30/2014,entrance,"8,000",,LAK,0.99,USD,
laos,5/30/2014,other,"8,000",,LAK,0.99,USD,
laos,5/30/2014,transportation,"100,000",,LAK,12.42,USD,Buddha park
laos,5/30/2014,visa,35,,USD,35,USD,Laos
thailand,5/30/2014,transportation,180,,THB,5.51,USD,Khon Kaen - Border
laos,5/31/2014,other,"8,000",,LAK,0.99,USD,
laos,5/31/2014,food,"3,000",,LAK,0.37,USD,
laos,5/31/2014,food,"28,000",,LAK,3.48,USD,
laos,5/31/2014,other,"15,000",,LAK,1.86,USD,
laos,5/31/2014,other,"10,000",,LAK,1.24,USD,
laos,5/31/2014,other,"12,000",,LAK,1.49,USD,
laos,5/31/2014,entrance,"3,000",,LAK,0.37,USD,
laos,5/31/2014,entrance,"5,000",,LAK,0.62,USD,
laos,5/31/2014,other,"8,000",,LAK,0.99,USD,
laos,5/31/2014,transportation,"200,000",,LAK,24.85,USD,luang prabang
laos,6/1/2014,food,"5,000",,LAK,0.62,USD,
laos,6/1/2014,transportation,"5,000",,LAK,0.62,USD,
laos,6/1/2014,food,"30,000",,LAK,3.73,USD,
laos,6/1/2014,other,"8,000",,LAK,0.99,USD,
laos,6/1/2014,food,"10,000",,LAK,1.24,USD,
laos,6/1/2014,accommodation,"50,000",,LAK,6.21,USD,
laos,6/1/2014,transportation,"40,000",,LAK,4.97,USD,nong khaiw
laos,6/1/2014,transportation,"20,000",,LAK,2.48,USD,
laos,6/1/2014,transportation,"40,000",,LAK,4.97,USD,
laos,6/1/2014,entrance,"20,000",,LAK,2.48,USD,
laos,6/1/2014,food,"10,000",,LAK,1.24,USD,
laos,6/1/2014,entrance,"20,000",,LAK,2.48,USD,
laos,6/2/2014,food,"23,000",,LAK,2.86,USD,
laos,6/2/2014,accommodation,"70,000",,LAK,8.7,USD,
laos,6/2/2014,food,"10,000",,LAK,1.24,USD,
laos,6/2/2014,transportation,"30,000",,LAK,3.73,USD,
laos,6/2/2014,other,"8,000",,LAK,0.99,USD,
laos,6/2/2014,transportation,"25,000",,LAK,3.11,USD,
vietnam,6/3/2014,food,"70,000",,VND,3.31,USD,
vietnam,6/3/2014,transportation,"375,000",,VND,17.73,USD,
laos,6/3/2014,food,"10,000",,LAK,1.24,USD,
laos,6/3/2014,transportation,"95,000",,LAK,11.8,USD,
laos,6/3/2014,food,"14,000",,LAK,1.74,USD,
laos,6/3/2014,other,"8,000",,LAK,0.99,USD,
laos,6/3/2014,food,"10,000",,LAK,1.24,USD,
vietnam,6/4/2014,other,"50,000",,VND,2.36,USD,
vietnam,6/4/2014,other,"100,000",,VND,4.73,USD,fix backpack
vietnam,6/4/2014,food,"30,000",,VND,1.42,USD,
vietnam,6/4/2014,other,"55,000",,VND,2.6,USD,book
vietnam,6/4/2014,other,"45,000",,VND,2.13,USD,
vietnam,6/4/2014,other,"45,000",,VND,2.13,USD,
vietnam,6/4/2014,transportation,"100,000",,VND,4.73,USD,
vietnam,6/4/2014,food,"30,000",,VND,1.42,USD,
vietnam,6/4/2014,other,"30,000",,VND,1.42,USD,
vietnam,6/5/2014,food,"80,000",,VND,3.78,USD,
vietnam,6/5/2014,other,"20,000",,VND,0.95,USD,
vietnam,6/5/2014,food,"10,000",,VND,0.47,USD,
vietnam,6/5/2014,transportation,"250,000",,VND,11.82,USD,airport
vietnam,6/5/2014,other,"15,000",,VND,0.71,USD,icecream
vietnam,6/5/2014,transportation,"50,000",,VND,2.36,USD,
vietnam,6/5/2014,food,"30,000",,VND,1.42,USD,
vietnam,6/5/2014,other,"25,000",,VND,1.18,USD,
vietnam,6/5/2014,tour,"486,000",,VND,22.98,USD,Halong Bay
philippines,6/6/2014,accommodation,500,,PHP,11.4,USD,
philippines,6/6/2014,tour,"1,200.00",,PHP,27.36,USD,
philippines,6/6/2014,other,72,,PHP,1.64,USD,
philippines,6/6/2014,food,15,,PHP,0.34,USD,
philippines,6/6/2014,food,175,,PHP,3.99,USD,
philippines,6/6/2014,transportation,15,,PHP,0.34,USD,
philippines,6/6/2014,other,4,,PHP,0.09,USD,
