country,date,tags,local_expense,local_income,currency,main_amount,main_currency,description
italy,1/10/2015,accommodation,13,,EUR,16.11,USD,
italy,1/10/2015,food,6,,EUR,7.43,USD,
italy,1/10/2015,transportation,4,,EUR,4.96,USD,
italy,1/11/2015,coffee,1.7,,EUR,2.11,USD,
italy,1/11/2015,cigarettes,4,,EUR,4.96,USD,
italy,1/11/2015,food,3.5,,EUR,4.34,USD,
italy,1/11/2015,coffee,1.2,,EUR,1.49,USD,
italy,1/11/2015,transportation,4,,EUR,4.96,USD,
argentina,1/12/2015,food,75,,ARS,5.77,USD,
argentina,1/12/2015,food,28,,ARS,2.15,USD,
argentina,1/12/2015,food,72,,ARS,5.54,USD,
argentina,1/12/2015,coffee,32,,ARS,2.46,USD,
argentina,1/12/2015,cigarettes,18.5,,ARS,1.42,USD,
argentina,1/12/2015,food,18,,ARS,1.38,USD,
argentina,1/13/2015,transportation,4,,ARS,0.31,USD,
argentina,1/13/2015,cigarettes,28,,ARS,2.15,USD,
argentina,1/13/2015,cigarettes,15,,ARS,1.15,USD,
argentina,1/14/2015,transportation,6,,ARS,0.46,USD,
chile,1/15/2015,food,"3,300",,CLP,5.33,USD,
chile,1/15/2015,accommodation,"8,000",,CLP,12.91,USD,
chile,1/15/2015,cigarettes,"4,600",,CLP,7.43,USD,
chile,1/16/2015,food,"1,400",,CLP,2.26,USD,
chile,1/16/2015,other,350,,CLP,0.57,USD,
chile,1/16/2015,food,"1,000",,CLP,1.61,USD,
chile,1/16/2015,transportation,450,,CLP,0.73,USD,
chile,1/16/2015,food,"3,000",,CLP,4.84,USD,
chile,1/16/2015,accommodation,"8,000",,CLP,12.91,USD,
chile,1/17/2015,entrance,"4,500",,CLP,7.26,USD,
chile,1/17/2015,cigarettes,"1,800",,CLP,2.91,USD,
chile,1/17/2015,food,"3,000",,CLP,4.84,USD,
chile,1/17/2015,transportation,"5,000",,CLP,8.07,USD,
chile,1/18/2015,accommodation,"4,300",,CLP,6.94,USD,
chile,1/18/2015,entrance,"4,500",,CLP,7.26,USD,
chile,1/18/2015,cigarettes,"1,800",,CLP,2.91,USD,
chile,1/18/2015,food,"3,000",,CLP,4.84,USD,
chile,1/19/2015,entrance,"4,500",,CLP,7.26,USD,
chile,1/19/2015,cigarettes,"1,800",,CLP,2.91,USD,
chile,1/19/2015,food,"3,000",,CLP,4.84,USD,
chile,1/20/2015,food,"2,000",,CLP,3.23,USD,
chile,1/20/2015,entrance,"4,500",,CLP,7.26,USD,
chile,1/20/2015,cigarettes,"2,500",,CLP,4.04,USD,
chile,1/21/2015,food,"1,000",,CLP,1.61,USD,
chile,1/21/2015,food,"1,500",,CLP,2.42,USD,
chile,1/21/2015,food,"10,000",,CLP,16.14,USD,
chile,1/21/2015,food,"2,000",,CLP,3.23,USD,
chile,1/21/2015,food,460,,CLP,0.74,USD,
chile,1/21/2015,accommodation,"8,000",,CLP,12.91,USD,
chile,1/21/2015,transportation,"5,000",,CLP,8.07,USD,
argentina,1/22/2015,food,40,,ARS,3.08,USD,
argentina,1/22/2015,cigarettes,16,,ARS,1.23,USD,
argentina,1/22/2015,accommodation,160,,ARS,12.31,USD,
argentina,1/22/2015,food,12.6,,ARS,0.97,USD,
chile,1/22/2015,food,"1,560",,CLP,2.52,USD,
chile,1/22/2015,other,"15,000",,CLP,24.21,USD,
chile,1/22/2015,other,"5,800",,CLP,9.36,USD,
argentina,1/23/2015,accommodation,150,,ARS,12.5,USD,
argentina,1/23/2015,food,25,,ARS,2.08,USD,
argentina,1/23/2015,entrance,215,,ARS,17.92,USD,
argentina,1/23/2015,food,51,,ARS,3.92,USD,
argentina,1/23/2015,cigarettes,16,,ARS,1.23,USD,
argentina,1/23/2015,transportation,280,,ARS,21.54,USD,
argentina,1/24/2015,cigarettes,40,,ARS,3.33,USD,
argentina,1/24/2015,food,35,,ARS,2.92,USD,
argentina,1/24/2015,entrance,120,,ARS,10,USD,
chile,1/25/2015,food,990,,CLP,1.6,USD,
chile,1/26/2015,accommodation,"10,000",,CLP,16.14,USD,
chile,1/26/2015,food,"1,800",,CLP,2.91,USD,
chile,1/26/2015,gift,"1,200",,CLP,1.94,USD,
chile,1/26/2015,food,600,,CLP,0.97,USD,
